Date,close_fslr,close_gctay,close_run,close_plug,close_spwr,close_mean
2015-08-05,51.92,3.26,10.77,2.78,27.57,19.26
2015-08-06,51.2,3.31,8.77,2.37,26.09,18.348000000000003
2015-08-07,52.08,3.31,10.14,2.4,25.09,18.604000000000003
2015-08-10,53.48,3.31,10.12,2.38,26.04,19.065999999999995
2015-08-11,51.44,3.25,9.79,2.33,24.93,18.347999999999995
2015-08-12,51.88,3.25,10.35,2.35,25.0,18.566
2015-08-13,51.11,3.25,10.12,2.27,24.5,18.25
2015-08-14,51.51,3.25,10.04,2.29,25.09,18.436
2015-08-17,51.74,3.25,10.13,2.28,25.26,18.532000000000004
2015-08-18,51.63,3.25,10.24,2.26,24.81,18.438000000000002
2015-08-19,49.94,3.1,10.73,2.19,24.43,18.077999999999996
2015-08-20,47.91,2.83,10.52,2.02,23.34,17.323999999999998
2015-08-21,45.27,2.83,9.9,1.92,21.72,16.328
2015-08-24,43.61,2.7861,9.16,1.76,22.3,15.92322
2015-08-25,44.38,2.7861,9.9,1.85,22.76,16.33522
2015-08-26,46.09,2.7861,10.78,1.72,22.34,16.74322
2015-08-27,47.84,2.99,11.0,1.75,23.87,17.490000000000002
2015-08-28,47.8,2.99,11.62,1.76,24.32,17.698
2015-08-31,47.84,2.99,11.88,1.71,24.26,17.736
2015-09-01,47.26,2.99,11.86,1.66,22.82,17.318
2015-09-02,47.96,2.99,11.59,1.71,22.95,17.44
2015-09-03,48.29,2.99,11.64,1.69,23.66,17.654
2015-09-04,46.94,2.81,11.56,1.72,22.88,17.182
2015-09-08,49.11,2.76,11.55,1.74,24.09,17.85
2015-09-09,47.73,2.82,11.39,1.7,23.78,17.484
2015-09-10,48.22,2.82,11.69,1.69,23.25,17.534
2015-09-11,48.79,2.82,11.5,1.7,23.18,17.598000000000003
2015-09-14,46.2,2.82,11.25,1.68,22.72,16.934
2015-09-15,46.58,2.82,11.49,1.69,23.45,17.206
2015-09-16,47.76,2.82,11.31,1.71,23.92,17.504
2015-09-17,46.92,2.82,11.4,1.78,24.0,17.384
2015-09-18,45.33,2.82,11.58,1.89,23.24,16.972
2015-09-21,45.14,2.82,11.74,2.17,23.35,17.044
2015-09-22,44.42,2.82,11.39,2.18,22.41,16.644
2015-09-23,43.37,2.82,11.01,2.05,21.61,16.171999999999997
2015-09-24,43.64,2.82,10.81,2.07,21.33,16.134
2015-09-25,43.29,2.82,11.13,1.93,20.95,16.024
2015-09-28,40.81,2.82,10.06,1.83,19.12,14.928
2015-09-29,41.02,2.685,9.81,1.71,19.22,14.889000000000001
2015-09-30,42.75,2.685,10.37,1.83,20.04,15.535
2015-10-01,42.68,2.685,10.3,1.88,20.34,15.577000000000002
2015-10-02,45.46,2.685,10.51,2.01,21.52,16.437
2015-10-05,46.66,2.685,10.66,2.14,22.78,16.985
2015-10-06,48.88,2.96,11.05,2.18,23.35,17.684000000000005
2015-10-07,49.91,2.96,11.19,2.15,24.32,18.106
2015-10-08,51.12,2.96,11.39,2.19,25.22,18.576
2015-10-09,51.2,2.96,11.26,2.32,24.98,18.544
2015-10-12,50.83,2.96,10.78,2.39,24.74,18.339999999999996
2015-10-13,50.58,2.96,10.69,2.3,24.5,18.206
2015-10-14,51.95,2.96,10.74,2.205,25.02,18.575
2015-10-15,52.48,2.96,10.6,2.32,24.87,18.645999999999997
2015-10-16,52.05,2.96,10.34,2.31,24.55,18.442
2015-10-19,51.19,2.96,9.81,2.5,24.25,18.142000000000003
2015-10-20,51.77,2.96,9.5,2.44,24.36,18.206
2015-10-21,49.94,2.96,8.94,2.35,23.7,17.578
2015-10-22,49.89,2.96,8.9,2.28,23.87,17.580000000000002
2015-10-23,50.43,2.96,9.08,2.31,25.0,17.956
2015-10-26,50.57,2.96,9.21,2.41,24.73,17.976000000000003
2015-10-27,49.16,2.96,9.04,2.32,23.78,17.451999999999998
2015-10-28,50.85,3.08,9.42,2.4,24.62,18.074
2015-10-29,50.99,3.08,8.91,2.39,27.36,18.546
2015-10-30,57.07,3.08,7.41,2.41,26.84,19.362000000000002
