timestamp,open,high,low,close,volume
2021-05-18, 6.3600, 6.8200, 6.3100, 6.4800, 228196
2021-05-17, 6.1500, 6.2000, 6.1200, 6.2000, 70523
2021-05-14, 6.1200, 6.3000, 6.1200, 6.3000, 17364
2021-05-13, 5.9800, 6.1900, 5.9800, 6.0300, 163816
2021-05-12, 6.1500, 6.2705, 6.0000, 6.0050, 103821
2021-05-11, 6.0200, 6.3150, 6.0200, 6.2900, 38888
2021-05-10, 6.5100, 6.5100, 6.3000, 6.3500, 136193
2021-05-07, 6.5700, 6.7200, 6.5700, 6.6700, 77019
2021-05-06, 6.4475, 6.5100, 6.4100, 6.4800, 92042
2021-05-05, 6.8100, 6.8200, 6.6950, 6.7000, 102259
2021-05-04, 6.5100, 6.5300, 6.3900, 6.4650, 4651336
2021-05-03, 7.0108, 7.0200, 6.8800, 6.8800, 3214831
2021-04-30, 7.2200, 7.2500, 7.0700, 7.0700, 45264
2021-04-29, 7.4100, 7.5800, 7.3300, 7.4300, 259588
2021-04-28, 7.6200, 7.6700, 7.5400, 7.6400, 90601
2021-04-27, 7.7700, 7.9010, 7.7700, 7.8900, 73089
2021-04-26, 7.6500, 7.6800, 7.6000, 7.6300, 39516
2021-04-23, 7.5710, 7.6800, 7.5710, 7.6300, 50969
2021-04-22, 7.6800, 7.8100, 7.6100, 7.6700, 56711
2021-04-21, 6.9600, 7.2720, 6.9600, 7.2720, 57826
2021-04-20, 7.1500, 7.1500, 6.9500, 6.9900, 107110
2021-04-19, 7.1200, 7.1700, 7.1200, 7.1500, 30660
2021-04-16, 7.0400, 7.2500, 7.0400, 7.2500, 126147
2021-04-15, 7.1800, 7.1800, 7.0800, 7.1100, 62790
2021-04-14, 7.1800, 7.2200, 7.0500, 7.1000, 48802
2021-04-13, 6.9700, 7.0900, 6.9700, 7.0550, 65659
2021-04-12, 6.9300, 7.0500, 6.9300, 7.0000, 66209
2021-04-09, 7.4200, 7.4200, 7.2900, 7.3300, 33025
2021-04-08, 7.4100, 7.4900, 7.3350, 7.4700, 74078
2021-04-07, 7.1600, 7.3600, 7.1600, 7.2700, 124692
2021-04-06, 7.6500, 7.6500, 7.4000, 7.4500, 118588
2021-04-05, 7.7500, 7.8000, 7.6500, 7.8000, 105316
2021-04-01, 7.6500, 7.6700, 7.5300, 7.6550, 138327
2021-03-31, 7.7400, 7.7800, 7.6200, 7.7400, 625850
2021-03-30, 7.2200, 7.3400, 7.1800, 7.3225, 465681
2021-03-29, 6.8600, 6.9500, 6.8400, 6.9400, 100980
2021-03-26, 6.6500, 6.8900, 6.6500, 6.8900, 182150
2021-03-25, 6.5000, 6.5000, 6.4500, 6.5000, 64458
2021-03-24, 6.6100, 6.6600, 6.5800, 6.6300, 46370
2021-03-23, 6.7400, 6.8900, 6.7300, 6.7300, 46083
