Date,Closing Price,Daily Tweets,Sentiment Score
2011-01-03,13.06,8.0,0.27876249999999997
2011-01-04,13.63,3.0,0.08753333333333335
2011-01-05,13.86,9.0,0.22082222222222223
2011-01-06,13.6275,16.0,0.020131249999999996
2011-01-07,13.44,26.0,0.01455769230769231
2011-01-10,14.62,17.0,0.3039117647058823
2011-01-11,14.1,12.0,0.116475
2011-01-12,14.26,26.0,0.09555769230769232
2011-01-13,13.9,12.0,0.14105
2011-01-14,13.8,5.0,0.21051999999999998
2011-01-18,14.5425,33.0,0.19240000000000002
2011-01-19,14.55,11.0,0.034609090909090916
2011-01-20,14.57,21.0,0.15259523809523812
2011-01-21,14.0475,23.0,0.2451086956521739
2011-01-24,14.47,48.0,0.1742541666666667
2011-01-25,14.23,52.0,0.07513653846153846
2011-01-26,13.7,22.0,0.15790454545454544
2011-01-27,13.76,10.0,0.17183
2011-01-28,13.21,6.0,0.28163333333333335
2011-01-31,13.44,9.0,0.3228555555555556
2011-02-01,13.85,22.0,0.22433181818181822
2011-02-02,15.12,35.0,0.10140571428571428
2011-02-03,15.24,49.0,0.05426326530612245
2011-02-04,15.01,33.0,0.08828484848484848
2011-02-07,15.74,22.0,0.14920454545454545
2011-02-08,15.3675,19.0,-0.12095789473684211
2011-02-09,15.45,18.0,0.05463333333333334
2011-02-10,15.33,6.0,0.11538333333333334
2011-02-11,16.04,39.0,0.19143589743589745
2011-02-14,16.49,43.0,0.2195209302325581
2011-02-15,16.58,10.0,0.33954000000000006
2011-02-16,17.14,19.0,0.008615789473684205
2011-02-17,17.43,32.0,0.18853125000000007
2011-02-18,18.04,32.0,0.09852500000000002
2011-02-22,17.82,18.0,0.03822777777777778
2011-02-23,17.87,24.0,0.08017499999999998
2011-02-24,18.34,53.0,0.08300566037735851
2011-02-25,17.57,109.0,0.09611834862385325
2011-02-28,17.07,54.0,0.024207407407407414
2011-03-01,17.23,64.0,0.01871406249999999
2011-03-02,17.25,22.0,0.22151818181818186
2011-03-03,16.7,49.0,0.12828163265306125
2011-03-04,16.42,17.0,0.07404705882352941
2011-03-07,15.82,16.0,0.13955625
2011-03-08,15.71,19.0,0.0420421052631579
2011-03-09,15.74,23.0,0.21951304347826087
2011-03-10,14.66,13.0,-0.08996153846153845
2011-03-11,14.27,10.0,0.20732
2011-03-14,14.5,81.0,0.09559012345679012
2011-03-15,16.07,128.0,0.045189843749999986
2011-03-16,15.61,59.0,0.04777796610169492
2011-03-17,15.85,61.0,0.030619672131147548
2011-03-18,15.375,60.0,0.08638166666666668
2011-03-21,16.11,33.0,0.17007878787878788
2011-03-22,15.71,20.0,0.133215
2011-03-23,16.41,19.0,0.1420842105263158
2011-03-24,16.4,24.0,0.0327625
2011-03-25,16.4,16.0,0.18443750000000003
2011-03-28,16.53,43.0,0.13492093023255816
2011-03-29,16.78,27.0,0.12362592592592592
2011-03-30,17.09,17.0,0.20566470588235294
2011-03-31,17.14,37.0,0.1891135135135136
2011-04-01,17.19,33.0,0.09021515151515154
2011-04-04,17.47,19.0,0.20431578947368423
2011-04-05,17.5,20.0,0.15017000000000003
2011-04-06,17.38,28.0,0.17311785714285713
2011-04-07,17.07,43.0,0.12348837209302324
2011-04-08,16.85,34.0,0.2003117647058824
2011-04-11,16.39,22.0,0.15945000000000004
2011-04-12,16.27,17.0,0.04164117647058824
2011-04-13,16.44,53.0,0.0672509433962264
