Date,daily_tweets,neg_sentiment,pos_sentiment,compound_sentiment,closing_price
2015-08-05,536,1125,1125,1125,10.77
2015-08-06,361,1154,1154,1154,8.77
2015-08-07,125,562,562,562,10.14
2015-08-10,63,182,182,182,10.12
2015-08-11,56,199,199,199,9.79
2015-08-12,38,215,215,215,10.35
2015-08-13,27,239,239,239,10.12
2015-08-14,42,224,224,224,10.04
2015-08-17,43,198,198,198,10.13
2015-08-18,50,196,196,196,10.24
2015-08-19,42,339,339,339,10.73
2015-08-20,44,193,193,193,10.52
2015-08-21,23,152,152,152,9.9
2015-08-24,22,142,142,142,9.16
2015-08-25,27,255,255,255,9.9
2015-08-26,26,330,330,330,10.78
2015-08-27,37,217,217,217,11.0
2015-08-28,30,298,298,298,11.62
2015-08-31,94,261,261,261,11.88
2015-09-01,37,210,210,210,11.86
2015-09-02,25,136,136,136,11.59
2015-09-03,37,144,144,144,11.64
2015-09-04,42,164,164,164,11.56
2015-09-08,59,204,204,204,11.55
2015-09-09,38,255,255,255,11.39
2015-09-10,82,268,268,268,11.69
2015-09-11,49,222,222,222,11.5
2015-09-14,65,234,234,234,11.25
2015-09-15,59,235,235,235,11.49
2015-09-16,27,189,189,189,11.31
2015-09-17,39,340,340,340,11.4
2015-09-18,29,453,453,453,11.58
2015-09-21,63,428,428,428,11.74
2015-09-22,57,265,265,265,11.39
2015-09-23,87,291,291,291,11.01
2015-09-24,21,265,265,265,10.81
2015-09-25,31,272,272,272,11.13
2015-09-28,20,188,188,188,10.06
2015-09-29,50,225,225,225,9.81
2015-09-30,58,209,209,209,10.37
2015-10-01,33,186,186,186,10.3
2015-10-02,58,320,320,320,10.51
2015-10-05,45,276,276,276,10.66
2015-10-06,14,179,179,179,11.05
2015-10-07,36,387,387,387,11.19
2015-10-08,41,458,458,458,11.39
2015-10-09,43,390,390,390,11.26
2015-10-12,21,317,317,317,10.78
2015-10-13,67,190,190,190,10.69
2015-10-14,81,334,334,334,10.74
2015-10-15,27,277,277,277,10.6
2015-10-16,37,239,239,239,10.34
2015-10-19,18,236,236,236,9.81
2015-10-20,43,240,240,240,9.5
2015-10-21,48,249,249,249,8.94
2015-10-22,35,181,181,181,8.9
2015-10-23,39,168,168,168,9.08
2015-10-26,33,179,179,179,9.21
2015-10-27,77,277,277,277,9.04
2015-10-28,44,319,319,319,9.42
