Date,Closing Price,Daily Tweets,Sentiment Score
2011-01-03,1.69,5.0,0.47036000000000006
2011-01-04,1.69,6.0,0.3224
2011-01-05,1.69,5.0,0.47766000000000003
2011-01-06,1.69,3.0,0.3919333333333333
2011-01-07,1.69,4.0,0.241975
2011-01-10,1.69,12.0,0.3891833333333334
2011-01-11,1.69,34.0,0.44656176470588244
2011-01-12,1.69,13.0,0.33853846153846157
2011-01-13,1.69,19.0,0.3709894736842106
2011-01-14,1.69,11.0,0.4053090909090909
2011-01-18,1.69,5.0,0.28832
2011-01-19,1.69,4.0,0.4373250000000001
2011-01-20,1.69,3.0,0.3161
2011-01-21,1.69,13.0,0.6921615384615384
2011-01-24,1.69,8.0,0.5875250000000001
2011-01-25,1.69,6.0,0.29130000000000006
2011-01-26,1.69,12.0,0.3312916666666667
2011-01-27,1.69,30.0,0.45333999999999997
2011-01-28,1.69,14.0,0.4889071428571429
2011-01-31,1.69,12.0,0.48718333333333336
2011-02-01,1.69,20.0,0.28753000000000006
2011-02-02,1.69,2.0,0.37495
2011-02-03,1.69,10.0,0.22598000000000001
2011-02-04,1.69,2.0,0.7518
2011-02-07,1.69,6.0,0.2842
2011-02-08,1.69,6.0,0.22766666666666668
2011-02-09,1.69,9.0,0.3743777777777778
2011-02-10,1.69,6.0,0.4158
2011-02-11,1.69,10.0,0.4014500000000001
2011-02-14,1.69,3.0,0.4186666666666667
2011-02-15,1.69,5.0,0.3899800000000001
2011-02-16,1.69,4.0,0.40385000000000004
2011-02-17,1.69,9.0,0.3329111111111111
2011-02-18,1.69,6.0,0.34326666666666666
2011-02-22,1.69,22.0,0.5778227272727272
2011-02-23,1.69,18.0,0.4523722222222222
2011-02-24,1.69,12.0,0.40597500000000003
2011-02-25,1.69,9.0,0.3441222222222222
2011-02-28,1.69,11.0,0.43212727272727275
2011-03-01,1.69,17.0,0.2985529411764706
2011-03-02,1.69,18.0,0.3315055555555556
2011-03-03,1.69,9.0,0.25593333333333335
2011-03-04,1.69,10.0,0.33902
2011-03-07,1.69,20.0,0.3870700000000001
2011-03-08,1.69,12.0,0.22358333333333333
2011-03-09,1.69,12.0,0.5103833333333334
2011-03-10,1.69,7.0,0.3692428571428571
2011-03-11,1.69,13.0,0.4801846153846154
2011-03-14,1.69,18.0,0.20830000000000004
2011-03-15,1.69,10.0,0.3942
2011-03-16,1.69,3.0,0.33616666666666667
2011-03-17,1.69,24.0,0.3086875
2011-03-18,1.69,26.0,0.302523076923077
