Date,Closing Price,Daily Tweets,Pos Sentiment
2011-01-03,1.69,5.0,0.25579999999999997
2011-01-04,1.69,6.0,0.209
2011-01-05,1.69,5.0,0.29819999999999997
2011-01-06,1.69,3.0,0.23266666666666666
2011-01-07,1.69,4.0,0.13824999999999998
2011-01-10,1.69,12.0,0.26575
2011-01-11,1.69,34.0,0.2557058823529411
2011-01-12,1.69,13.0,0.24961538461538468
2011-01-13,1.69,19.0,0.2335263157894737
2011-01-14,1.69,11.0,0.22527272727272732
2011-01-18,1.69,5.0,0.28019999999999995
2011-01-19,1.69,4.0,0.27725
2011-01-20,1.69,3.0,0.16866666666666666
2011-01-21,1.69,13.0,0.464
2011-01-24,1.69,8.0,0.359875
2011-01-25,1.69,6.0,0.24666666666666667
2011-01-26,1.69,12.0,0.23
2011-01-27,1.69,30.0,0.27943333333333337
2011-01-28,1.69,14.0,0.30750000000000005
2011-01-31,1.69,12.0,0.30516666666666664
2011-02-01,1.69,20.0,0.19235000000000002
2011-02-02,1.69,2.0,0.26399999999999996
2011-02-03,1.69,10.0,0.2479
2011-02-04,1.69,2.0,0.5305
2011-02-07,1.69,6.0,0.18583333333333332
2011-02-08,1.69,6.0,0.17783333333333332
2011-02-09,1.69,9.0,0.2625555555555556
2011-02-10,1.69,6.0,0.24616666666666667
2011-02-11,1.69,10.0,0.2571
2011-02-14,1.69,3.0,0.2946666666666667
2011-02-15,1.69,5.0,0.2792
2011-02-16,1.69,4.0,0.35175
2011-02-17,1.69,9.0,0.21322222222222223
2011-02-18,1.69,6.0,0.21266666666666667
2011-02-22,1.69,22.0,0.38404545454545463
2011-02-23,1.69,18.0,0.3084444444444444
2011-02-24,1.69,12.0,0.28458333333333335
2011-02-25,1.69,9.0,0.21288888888888888
2011-02-28,1.69,11.0,0.26436363636363636
2011-03-01,1.69,17.0,0.17952941176470588
2011-03-02,1.69,18.0,0.19938888888888892
2011-03-03,1.69,9.0,0.17588888888888887
2011-03-04,1.69,10.0,0.2292
2011-03-07,1.69,20.0,0.25200000000000006
2011-03-08,1.69,12.0,0.16274999999999998
2011-03-09,1.69,12.0,0.2884166666666667
2011-03-10,1.69,7.0,0.2165714285714286
2011-03-11,1.69,13.0,0.28807692307692306
2011-03-14,1.69,18.0,0.22233333333333338
2011-03-15,1.69,10.0,0.26709999999999995
2011-03-16,1.69,3.0,0.26033333333333336
2011-03-17,1.69,24.0,0.22062500000000004
2011-03-18,1.69,26.0,0.22849999999999998
2011-03-21,1.69,10.0,0.1609
2011-03-22,1.69,14.0,0.2803571428571428
2011-03-23,1.69,11.0,0.2620909090909091
2011-03-24,1.69,15.0,0.25326666666666664
2011-03-25,1.69,13.0,0.29523076923076924
2011-03-28,1.69,9.0,0.18000000000000002
2011-03-29,1.69,13.0,0.2802307692307692
2011-03-30,1.69,20.0,0.28980000000000006
2011-03-31,1.69,27.0,0.248
2011-04-01,1.69,15.0,0.17993333333333333
2011-04-04,1.69,13.0,0.2584615384615385
2011-04-05,1.69,12.0,0.1703333333333333
2011-04-06,2.05,10.0,0.1824
2011-04-07,1.99,14.0,0.22014285714285714
2011-04-08,2.1,10.0,0.1891
2011-04-11,1.99,13.0,0.36007692307692307
2011-04-12,1.96,22.0,0.3313181818181818
2011-04-13,2.18,14.0,0.24899999999999997
2011-04-14,2.0,13.0,0.20569230769230765
2011-04-15,1.94,16.0,0.19437500000000002
2011-04-18,1.8,7.0,0.10371428571428573
2011-04-19,1.8,15.0,0.23313333333333333
2011-04-20,1.8,18.0,0.15105555555555553
2011-04-21,1.73,9.0,0.20633333333333337
2011-04-25,1.73,15.0,0.27840000000000004
2011-04-26,1.75,16.0,0.2311875
2011-04-27,1.75,14.0,0.2490714285714286
2011-04-28,1.82,17.0,0.281764705882353
2011-04-29,1.78,10.0,0.26940000000000003
2011-05-02,1.76,18.0,0.2512222222222222
2011-05-03,1.75,11.0,0.1819090909090909
2011-05-04,1.75,17.0,0.25794117647058823
2011-05-05,1.71,16.0,0.22762499999999997
2011-05-06,1.7,18.0,0.2123888888888889
2011-05-09,1.66,16.0,0.23993749999999997
2011-05-10,1.7,15.0,0.29893333333333333
