Ticker,timestamp,open,high,low,close,volume,delta,deltaNorm
SPWR,23/04/2021,28.07,29.42,27.51,29.01,3461071,0.94,0.243455452
SPWR,22/04/2021,27.92,28.98,27.4,27.66,4502055,-0.26,-0.044893806
SPWR,21/04/2021,25.6,27.41,25.02,27.38,2589691,1.78,0.445299933
SPWR,20/04/2021,26.5,26.898,25.17,25.93,3248555,-0.57,-0.119384031
SPWR,19/04/2021,27.45,28.22,26.07,26.54,3803556,-0.91,-0.201082987
SPWR,16/04/2021,26.55,27.92,26.39,27.37,6393411,0.82,0.214620526
SPWR,15/04/2021,29,29.18,25.58,26.44,5020492,-2.56,-0.597563217
SPWR,14/04/2021,28.75,30.12,28.345,28.41,3816964,-0.34,-0.06411709
SPWR,13/04/2021,28.15,28.74,27.55,28.55,2926143,0.4,0.113698286
SPWR,12/04/2021,29.54,29.54,27.59,28.2,3785903,-1.34,-0.304408138
SPWR,09/04/2021,29.12,30.05,28.5,29.71,2591839,0.59,0.159353585
SPWR,08/04/2021,30.25,30.28,29.27,29.38,3702315,-0.87,-0.191471346
SPWR,07/04/2021,32.35,32.53,29.49,29.54,5271360,-2.81,-0.65763598
SPWR,06/04/2021,32.39,34.46,32.35,32.53,2945469,0.14,0.051222613
SPWR,05/04/2021,34.16,34.32,32.17,32.5,3710612,-1.66,-0.381301274
SPWR,01/04/2021,34.7221,35,32.88,33.24,3660444,-1.4821,-0.338553496
SPWR,31/03/2021,33.02,34.14,32.14,33.45,5101994,0.43,0.120907018
SPWR,30/03/2021,29.3,31.9848,29.28,31.52,3839175,2.22,0.551027994
SPWR,29/03/2021,32.32,32.78,29.0601,29.24,5037632,-3.08,-0.722514563
SPWR,26/03/2021,31.55,33.4053,31.05,32.87,3524178,1.32,0.334766051
SPWR,25/03/2021,29.64,32.1399,29.2,31.555,4076691,1.915,0.477739225
SPWR,24/03/2021,32.88,33.005,30.45,30.69,3247288,-2.19,-0.50865553
SPWR,23/03/2021,33.46,34.37,31.6605,32.15,3767014,-1.31,-0.297199407
SPWR,22/03/2021,33,35.09,32.7,34.44,3946639,1.44,0.363600976
