Year-Week,Enphase Energy,First Solar,Siemens,Plug Power,Sunrun,Sunpower,Meridian
2011-01,27,78.0,29,29,45.0,46,3.0
2011-02,21,79.0,95,95,60.0,37,6.0
2011-03,47,94.0,53,53,136.0,41,10.0
2011-04,21,139.0,80,80,95.0,52,5.0
2011-05,41,157.0,61,61,97.0,43,9.0
2011-06,26,116.0,50,50,59.0,51,5.0
2011-07,110,159.0,50,50,74.0,91,9.0
2011-08,10,225.0,91,91,78.0,125,31.0
2011-09,149,231.0,71,71,217.0,91,14.0
2011-10,38,95.0,73,73,82.0,41,6.0
2011-11,19,416.0,97,97,87.0,41,5.0
2011-12,49,125.0,71,71,39.0,43,12.0
2011-13,23,168.0,110,110,59.0,38,26.0
2011-14,26,177.0,70,70,81.0,31,
2011-15,111,219.0,88,88,198.0,41,
2011-16,57,130.0,76,76,1181.0,56,6.0
2011-17,33,185.0,78,78,144.0,92,7.0
2011-18,38,309.0,90,90,384.0,116,15.0
2011-19,19,180.0,80,80,86.0,101,8.0
2011-20,71,107.0,82,82,27.0,61,21.0
2011-21,33,137.0,185,185,155.0,30,12.0
2011-22,50,94.0,98,98,32.0,27,3.0
2011-23,310,111.0,96,96,69.0,95,4.0
2011-24,437,80.0,97,97,28.0,84,20.0
2011-25,136,100.0,94,94,137.0,127,10.0
2011-26,36,294.0,86,86,98.0,59,7.0
2011-27,28,69.0,97,97,41.0,35,14.0
2011-28,37,88.0,93,93,461.0,41,11.0
2011-29,71,75.0,100,100,109.0,41,5.0
2011-30,41,131.0,126,126,188.0,65,12.0
2011-31,48,189.0,101,101,95.0,49,10.0
2011-32,36,103.0,137,137,60.0,130,12.0
2011-33,36,133.0,83,83,78.0,88,13.0
2011-34,35,123.0,82,82,105.0,49,19.0
2011-35,83,111.0,188,188,116.0,59,17.0
2011-36,32,118.0,173,173,67.0,34,12.0
2011-37,27,123.0,99,99,152.0,38,7.0
2011-38,79,273.0,133,133,94.0,31,12.0
2011-39,62,308.0,158,158,81.0,31,10.0
2011-40,57,259.0,94,94,210.0,53,24.0
2011-41,83,314.0,128,128,84.0,60,5.0
2011-42,78,199.0,290,290,156.0,53,2.0
2011-43,82,978.0,144,144,99.0,40,4.0
2011-44,54,256.0,107,107,186.0,50,4.0
2011-45,25,198.0,190,190,70.0,56,12.0
2011-46,32,194.0,297,297,119.0,56,4.0
2011-47,34,140.0,138,138,44.0,17,17.0
2011-48,63,153.0,181,181,79.0,38,21.0
2011-49,59,344.0,100,100,118.0,48,8.0
2011-50,25,705.0,129,129,109.0,46,6.0
2011-51,37,249.0,84,84,62.0,78,4.0
2011-52,13,121.0,71,71,18.0,81,1.0
2012-01,44,321.0,80,80,63.0,60,3.0
2012-02,31,666.0,96,96,65.0,65,5.0
2012-03,41,590.0,278,278,77.0,40,18.0
2012-04,54,170.0,134,134,142.0,57,8.0
2012-05,104,214.0,166,166,158.0,63,15.0
2012-06,105,359.0,105,105,85.0,54,2.0
2012-07,63,403.0,162,162,67.0,116,15.0
2012-08,108,284.0,204,204,108.0,100,4.0
2012-09,108,813.0,136,136,106.0,48,5.0
2012-10,72,487.0,127,127,48.0,101,6.0
2012-11,122,324.0,121,121,160.0,63,3.0
2012-12,98,252.0,98,98,77.0,100,6.0
2012-13,633,223.0,126,126,176.0,43,16.0
2012-14,101,330.0,98,98,106.0,56,24.0
2012-15,82,514.0,83,83,289.0,50,4.0
2012-16,100,681.0,146,146,1589.0,90,4.0
2012-17,93,276.0,104,104,312.0,77,10.0
2012-18,142,580.0,85,85,78.0,103,10.0
2012-19,166,195.0,110,110,437.0,57,4.0
2012-20,124,281.0,88,88,198.0,82,3.0
2012-21,106,178.0,163,163,382.0,65,28.0
2012-22,132,169.0,78,78,107.0,75,8.0
2012-23,148,189.0,130,130,41.0,42,6.0
2012-24,137,632.0,108,108,95.0,66,20.0
2012-25,92,342.0,114,114,106.0,66,23.0
2012-26,146,256.0,131,131,84.0,66,10.0
2012-27,69,197.0,74,74,77.0,59,3.0
2012-28,61,114.0,113,113,70.0,84,8.0
2012-29,111,223.0,205,205,55.0,81,6.0
2012-30,91,121.0,143,143,288.0,70,11.0
2012-31,61,720.0,88,88,94.0,89,11.0
2012-32,136,386.0,84,84,72.0,116,14.0
2012-33,100,264.0,118,118,36.0,71,49.0
2012-34,103,396.0,121,121,68.0,57,9.0
